73,2018,The race to understand the thrilling, dangerous world of language AI | MIT Technology Review,https://www.technologyreview.com/2021/05/20/1025135/ai-large-language-models-bigscience-project
74,2018,Dissecting the CRISPR-baby stories | MIT Technology Review,https://www.technologyreview.com/2021/02/24/1017838/crispr-baby-gene-editing-jiankui-history
75,2012,Rachel Haurwitz | MIT Technology Review,https://www.technologyreview.com/innovator/rachel-haurwitz
76,2021,Wearable materials with embedded synthetic biology sensors for biomolecule detection | Nature Biotechnology,https://www.nature.com/articles/s41587-021-00950-3
77,,How Artificial Intelligence Can Deepen Racial and Economic Inequities | News & Commentary | American Civil Liberties Union,https://www.aclu.org/news/privacy-technology/how-artificial-intelligence-can-deepen-racial-and-economic-inequities
78,1995,The Internet Is Being Protected By Two Guys Named Steve,https://www.buzzfeed.com/chrisstokelwalker/the-internet-is-being-protected-by-two-guys-named-st
79,2020,After George Floyd’s murder, police built a secretive surveillance machine that lives on | MIT Technology Review,https://www.technologyreview.com/2022/03/03/1046676/police-surveillance-minnesota-george-floyd
80,2022,Inside the app Minnesota police use collect data on journalists at protests | MIT Technology Review,https://www.technologyreview.com/2022/03/23/1047899/secret-police-app-minnesota-police-journalists-protests-data
81,1997,Inside the fierce, messy fight over "healthy" sugar tech | MIT Technology Review,https://www.technologyreview.com/2022/04/11/1048913/inside-the-fierce-messy-fight-over-healthy-sugar-tech
82,2020,In Machines We Trust | MIT Technology Review,https://www.technologyreview.com/supertopic/in-machines-we-trust
83,2022,2021 35 Innovators Under 35: Visionaries,http://www.technologyreview.com/tr35
84,2022,The Big Story | MIT Technology Review,https://www.technologyreview.com/collection/the-big-story
85,2022,Deception, exploited workers, and free cash: How Worldcoin recruited its first half a million test users | MIT Technology Review,https://www.technologyreview.com/2022/04/06/1048981/worldcoin-cryptocurrency-biometrics-web3
86,1950,AI is making inequality worse | MIT Technology Review,https://www.technologyreview.com/2022/04/19/1049378/ai-inequality-problem
87,2012,These hackers just showed how easy it is to target critical infrastructure | MIT Technology Review,https://www.technologyreview.com/2022/04/21/1050815/hackers-target-critical-infrastructure-pwn2own
88,1901,Climate change is making India’s brutal heat waves worse | MIT Technology Review,https://www.technologyreview.com/2022/04/28/1051511/climate-change-india-heat-waves
89,2020,2020 | MIT Technology Review,https://www.technologyreview.com/10-breakthrough-technologies/2020
90,2022,2020 | MIT Technology Review,https://www.technologyreview.com/innovators-under-35/2020
91,1973,In praise of the Feistel network | MIT Technology Review,https://www.technologyreview.com/2022/04/27/1048456/in-praise-of-the-feistel-network
92,2014,Barnhart succeeds Schmidt as provost | MIT Technology Review,https://www.technologyreview.com/2022/04/27/1048472/barnhart-succeeds-schmidt-as-provost
93,2019,Smoking gun | MIT Technology Review,https://www.technologyreview.com/2022/04/27/1048489/smoking-gun
94,2021,Flesh became words | MIT Technology Review,https://www.technologyreview.com/2022/04/27/1048493/flesh-became-words
95,1997,Met @ MIT | MIT Technology Review,https://www.technologyreview.com/2022/04/27/1048513/met-mit
96,2022,The recommender revolution | MIT Technology Review,https://www.technologyreview.com/2022/04/27/1048517/the-recommender-revolution
97,2022,Ricardo ’86 and Sara Jenez | MIT Technology Review,https://www.technologyreview.com/2022/04/27/1048522/ricardo-86-and-sara-jenez
98,2012,Topographies that talk | MIT Technology Review,https://www.technologyreview.com/2022/04/27/1048536/topographies-that-talk
99,2018,Molecular monitor | MIT Technology Review,https://www.technologyreview.com/2022/04/27/1048549/molecular-monitor
100,2021,What’s next for MIT? | MIT Technology Review,https://www.technologyreview.com/2022/04/27/1048554/whats-next-for-mit
101,2022,Ocean warrior | MIT Technology Review,https://www.technologyreview.com/2022/04/27/1048561/ocean-warrior
102,2022,Sounding the alarm on noise and health  | MIT Technology Review,https://www.technologyreview.com/2022/04/27/1048563/sounding-the-alarm-on-noise-and-health
103,2018,Uncovering the unexpected link between opioid use and memory loss | MIT Technology Review,https://www.technologyreview.com/2022/04/27/1048566/uncovering-the-unexpected-link-between-opioid-use-and-memory-loss
104,2022,Asteroid whisperer | MIT Technology Review,https://www.technologyreview.com/2022/04/27/1048569/asteroid-whisperer
105,2022,Turning the nation’s capital into the next Kendall Square | MIT Technology Review,https://www.technologyreview.com/2022/04/27/1048572/turning-the-nations-capital-into-the-next-kendall-square
106,2021,House-flipping algorithms are coming to your neighborhood— despite the losses | MIT Technology Review,https://www.technologyreview.com/2022/04/13/1049227/house-flipping-algorithms-are-coming-to-your-neighborhood
107,2021,How Africa’s Silicon Savannah became an online Vegas | MIT Technology Review,https://www.technologyreview.com/2022/04/14/1049239/kenya-sports-betting-mobile-money
108,2022,In praise of the dollar bill | MIT Technology Review,https://www.technologyreview.com/2022/04/15/1049604/cash-digital-payments-money
109,2014,It’s okay to opt out of the crypto revolution | MIT Technology Review,https://www.technologyreview.com/2022/04/21/1049391/miss-out-crypto-revolution
110,2016,Meet Neha Narula, the MIT researcher who helps senators understand digital currencies | MIT Technology Review,https://www.technologyreview.com/2022/04/27/1048930/digital-currency-neha-narula
111,2022,MIT ICEO,https://diversity.mit.edu
112,2020,About the Pandemic Technology Project | MIT Technology Review,https://www.technologyreview.com/2020/12/16/1014876/about-the-pandemic-technology-project
113,2022,The Covid Tracing Tracker: What’s happening in coronavirus apps around the world | MIT Technology Review,https://www.technologyreview.com/2020/12/16/1014878/covid-tracing-tracker
114,2019,What went wrong with America’s $44 million vaccine data system? | MIT Technology Review,https://www.technologyreview.com/2021/01/30/1017086/cdc-44-million-vaccine-data-vams-problems
115,2021,Language modelling at scale: Gopher, ethical considerations, and retrieval,https://www.deepmind.com/blog/language-modelling-at-scale-gopher-ethical-considerations-and-retrieval
116,,Yann LeCun's Home Page,http://cs.nyu.edu/~yann
117,2022,Indaba - Deep Learning Indaba 2022,http://www.deeplearningindaba.com
118,,Our first COO Lila Ibrahim takes DeepMind to the next level,https://deepmind.com/blog/announcements/welcoming-lila-ibrahim-our-first-chief-operating-officer
119,,Scalable agent architecture for distributed training,https://deepmind.com/blog/article/impala-scalable-distributed-deeprl-dmlab-30
120,,WaveNet launches in the Google Assistant,https://deepmind.com/blog/article/wavenet-launches-google-assistant
121,,Marc Deisenroth,https://deisenroth.cc
122,,DeepMind, meet Android,https://deepmind.com/blog/announcements/deepmind-meet-android
123,,Machine learning can boost the value of wind energy,https://deepmind.com/blog/article/machine-learning-can-boost-value-wind-energy
124,,Safety-first AI for autonomous data centre cooling and industrial control,https://deepmind.com/blog/article/safety-first-ai-autonomous-data-centre-cooling-and-industrial-control
125,,WaveNet,https://deepmind.com/research/case-studies/wavenet
126,,Learning from delayed outcomes via proxies with applications to recommender systems,https://deepmind.com/research/publications/2019/Learning-from-delayed-outcomes-via-proxies-with-applications-to-recommender-systems
127,2016,AlphaStar: Mastering the real-time strategy game StarCraft II,https://deepmind.com/blog/article/alphastar-mastering-real-time-strategy-game-starcraft-ii
128,,TF-Replicator: Distributed Machine Learning for Researchers,https://deepmind.com/blog/article/tf-replicator-distributed-machine-learning
129,,Open sourcing TRFL: a library of reinforcement learning building blocks,https://deepmind.com/blog/article/trfl
130,2016,AlphaGo,https://deepmind.com/research/case-studies/alphago-the-story-so-far
131,2018,Global AI Narratives,http://lcfi.ac.uk/projects/ai-narratives-and-justice/global-ai-narratives
132,2018,AI Now Institute,https://ainowinstitute.org
133,2020,Home - Partnership on AI,https://partnershiponai.org
134,,You and AI | Royal Society,https://royalsociety.org/topics-policy/projects/machine-learning/you-and-ai
